image,n_true,n_pred,pixel_iou,pixel_dice,precision,recall,f1,mean_matched_iou,tp,fp,fn,infer_ms
IXMtest_E05_s2_w15CCE97F8-3F02-412E-8BF2-FC92972DDA1A.tif,178,174,0.9143482024878116,0.9552579842053401,0.9770114942528736,0.9550561797752809,0.9659090909090908,0.8840926346598732,170,4,8,726.6106605529785
IXMtest_E06_s3_w1701573EB-CE9A-4D76-8668-0416996E1DCD.tif,53,50,0.9218361401264833,0.9593285513569474,0.98,0.9245283018867925,0.9514563106796116,0.9078098389116227,49,1,4,719.8166847229004
IXMtest_E07_s1_w1641C6847-142B-463F-8B08-5B3296615572.tif,164,160,0.9405912588879027,0.9693862677985354,0.9875,0.9634146341463414,0.9753086419753086,0.9273482181047591,158,2,6,719.733715057373
IXMtest_E08_s2_w1588EDEBA-1BBA-4E49-810F-2EF2064C8846.tif,145,142,0.9497050338026956,0.9742038075886744,1.0,0.9793103448275862,0.9895470383275261,0.9314888431876023,142,0,3,722.1388816833496
IXMtest_E12_s9_w1A811DEC0-ADD9-411A-B5D5-A654C70F253D.tif,127,126,0.9460125607299443,0.9722574045206547,0.9841269841269841,0.9763779527559056,0.9802371541501976,0.938988497599273,124,2,3,718.4007167816162
IXMtest_E15_s5_w1419F04CC-50C3-41FB-A87A-FB17647A2E33.tif,155,155,0.9357259414008502,0.9667958892194027,0.967741935483871,0.967741935483871,0.967741935483871,0.9226556129137449,150,5,5,712.9988670349121
IXMtest_E19_s2_w1752F162C-2C91-4A67-BF4F-D073C3D88291.tif,143,141,0.9389904988123515,0.9685354305629567,0.9929078014184397,0.9790209790209791,0.9859154929577465,0.9233485675946188,140,1,3,741.7173385620117
IXMtest_E19_s4_w129545707-4CD3-4498-AC27-E4AE24D0253C.tif,126,126,0.9315444725350495,0.964559176121321,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9224108229124801,125,1,1,713.1233215332031
IXMtest_E23_s8_w10F1F106B-057A-482C-93BB-C9A0B044C054.tif,93,90,0.9414574444576654,0.9698460784142049,1.0,0.967741935483871,0.9836065573770492,0.9305330891896129,90,0,3,711.8332386016846
IXMtest_F01_s2_w189F7DC13-4572-43C9-8C23-CD9AEB41B24A.tif,100,98,0.9249606012850042,0.9610176963284842,1.0,0.98,0.98989898989899,0.9181729627165042,98,0,2,722.2621440887451
IXMtest_F03_s5_w1FE22EC7D-720A-4848-888A-6AFE1E1C85B0.tif,143,137,0.9564244518914603,0.9777269456705006,0.9708029197080292,0.9300699300699301,0.9500000000000001,0.9424207599493525,133,4,10,719.8989391326904
IXMtest_F04_s5_w1D94DA1A2-873C-44B3-80EB-36DC2A97E9A3.tif,114,107,0.9449955687698334,0.9717200223417702,0.9906542056074766,0.9298245614035088,0.9592760180995474,0.9378909775322285,106,1,8,709.6972465515137
IXMtest_F07_s5_w15678F19D-6F23-4FB4-8851-5B57CF8CCCF8.tif,127,126,0.9540922420687816,0.9765068623973369,1.0,0.9921259842519685,0.9960474308300395,0.9396034377652996,126,0,1,716.5517807006836
IXMtest_F08_s1_w144C3056F-C4DD-4D39-A40F-4F4576A6DBD8.tif,197,195,0.9336548054539408,0.96568922521283,0.9897435897435898,0.9796954314720813,0.9846938775510204,0.9174885471869932,193,2,4,737.7159595489502
IXMtest_F08_s7_w117D78658-1BA7-495D-9EAA-E4FA155861AC.tif,61,62,0.955174725306753,0.9770735197662632,0.9838709677419355,1.0,0.991869918699187,0.9467000386481077,61,1,0,714.6592140197754
IXMtest_F12_s5_w17F3E9DFC-6705-40A9-B5FE-C60261D73052.tif,130,124,0.937894310354807,0.9679519727606702,0.9838709677419355,0.9384615384615385,0.9606299212598426,0.9214631666289052,122,2,8,724.1714000701904
IXMtest_F12_s8_w1DBD80811-5297-4415-ACD1-EC9286BE76A4.tif,7,7,0.9232640424590889,0.960101184316431,1.0,1.0,1.0,0.8991724981816602,7,0,0,705.7709693908691
IXMtest_F12_s9_w1CD127D58-4641-41D3-88CC-E12B7FE77D78.tif,83,83,0.9323058810938085,0.9649671826968346,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9264976240562167,82,1,1,708.9011669158936
IXMtest_F13_s7_w13C1B1D8C-293E-454F-B0FD-6C2C3F9F5173.tif,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,657.1037769317627
IXMtest_F14_s7_w1E67F2A8A-EEC1-4F01-A1E2-0ECFC639637F.tif,116,117,0.9446949916923807,0.9715610887342854,0.9743589743589743,0.9827586206896551,0.9785407725321887,0.9317407654041533,114,3,2,712.0988368988037
IXMtest_F21_s1_w1E2770CF6-417B-4804-9B45-6EE7D783D8CA.tif,147,147,0.9373311947017127,0.9676519918382173,0.9727891156462585,0.9727891156462585,0.9727891156462585,0.9186274605802354,143,4,4,722.1238613128662
